,RandomForest,XGBoost,Lasso,Avg_Importance
1,0.4896986040416318,0.07293031,0.0,0.18754297256280839
947,0.21868026282274675,0.15126307,0.19248910194536695,0.18747747928495076
1033,0.25558505482074095,0.3062947,0.0,0.187293254754929
493,0.3100249779205329,0.25055182,0.0,0.18685893257395447
642,0.16729424279783556,0.08326347,0.30763143447290664,0.18606304966444834
64,0.24129181012618883,0.15366931,0.16148949408271213,0.18548353893507405
1142,0.27763486302305806,0.27841595,0.0,0.18535027039186672
1102,0.2803237650200938,0.2750973,0.0,0.18514035852105137
148,0.33633949131450597,0.21898381,0.0,0.18510776847826618
432,0.35101777408098395,0.17079931,0.03313762211928123,0.18498490372533452
671,0.16512457881178277,0.3866574,0.0,0.18392732194332884
437,0.176238762140086,0.28266695,0.0911171684633191,0.18334096067377603
281,0.1858004739785994,0.15505283,0.20723996346494808,0.1826977544173575
324,0.22645923174558258,0.31978607,0.0,0.18208176784097543
1097,0.21720847380072608,0.32682154,0.0,0.18134333654215182
440,0.30303564910252784,0.23884396,0.0,0.18062653721756372
423,0.3572780976433474,0.17479573,0.008846683224939027,0.1803068375901363
495,0.24624861659742797,0.14848715,0.14548009757253708,0.1800719549463543
748,0.11404825192950946,0.4261255,0.0,0.18005791618513656
1052,0.1670826290881739,0.37279347,0.0,0.17995869831363712
1134,0.2587247296085199,0.12664773,0.15381709638456212,0.1797298505648047
963,0.19974078978871082,0.33910963,0.0,0.17961680639377822
983,0.22535815461260492,0.11538723,0.19689688530489421,0.17921409034300853
308,0.21537059894168745,0.11992157,0.19972145664495625,0.1783378760310238
449,0.3062569752896958,0.22795984,0.0,0.17807227225982922
695,0.17600690193762944,0.16474444,0.19319634683783593,0.17798256183878022
952,0.22350739711769438,0.3092352,0.0,0.17758086083414826
502,0.23627747382495587,0.29599696,0.0,0.17742481260092322
1103,0.2245891164882429,0.3071601,0.0,0.17724974192326093
712,0.22302840077683475,0.3051762,0.0,0.17606819975311605
1038,0.16177029239702254,0.14735533,0.2183263904157509,0.17581733859446422
754,0.1163858613371982,0.41046417,0.0,0.17561667631070263
227,0.1925484062606648,0.15257774,0.1801687140466359,0.17509828774717592
962,0.28200090519597404,0.23058736,0.012555735486304344,0.17504800130846046
719,0.2109383163965914,0.3131705,0.0,0.1747029363485566
1101,0.21855534761502124,0.14856048,0.15477106443895544,0.17396229711243652
1119,0.3235031096041565,0.15591474,0.04161369086661065,0.17367717974835561
1004,0.2741143921432263,0.24657723,0.0,0.1735638750731073
439,0.2262756496932605,0.17443556,0.11927519252902102,0.17332879938572918
882,0.186812062429291,0.17144677,0.16085074033624028,0.17303652439838083
557,0.2547549568131792,0.2640387,0.0,0.17293122286648313
687,0.19790995246224652,0.13442476,0.18119242715031114,0.17117571351674946
737,0.10297004969288145,0.20628335,0.20416717078657162,0.1711401887659909
1135,0.2348856855242966,0.1971683,0.07989039139796561,0.17064812747950173
345,0.18908852951867505,0.16859539,0.15139123334062538,0.1696917171303284
956,0.21711009400921427,0.17449713,0.11656544210694618,0.1693908878830398
1011,0.3011885859674807,0.16095218,0.043405843053196634,0.1685155365482285
53,0.27749241645747647,0.22761726,0.0,0.1683698934171406
1121,0.18552111551766545,0.3185464,0.0,0.16802250996432355
715,0.17626041785421834,0.32666382,0.0,0.16764141326329066
794,0.196667006772831,0.14944287,0.15667459744806858,0.16759482355516242
349,0.18966884314043267,0.31275195,0.0,0.16747359732463274
1078,0.22311418423786594,0.23923813,0.03799295194738759,0.1667817547504388
350,0.2376765922793156,0.26177135,0.0,0.16648264779277663
558,0.2181312503060483,0.14534555,0.13536924950886628,0.1662820178568916
1066,0.25863445049345285,0.2173387,0.022246767468267176,0.16607330469462986
98,0.18587822328265588,0.31084833,0.0,0.16557551625786915
717,0.24351723040908363,0.25261056,0.0,0.1653759315469854
961,0.26661272217479526,0.22937581,0.0,0.16532951053529044
278,0.2970873801177696,0.19832267,0.0,0.16513668292979253
25,0.2417212168178109,0.25365493,0.0,0.16512538127770515
330,0.2127421172696156,0.28216854,0.0,0.16497021821597557
1141,0.24096501031021242,0.2443946,0.008685133581050134,0.16468158142755016
812,0.16284662208298595,0.12209469,0.20858945265693543,0.16451025517987816
380,0.21972588750336855,0.17194815,0.10179873739508546,0.16449092489958486
362,0.15510021087221443,0.17118357,0.16715044494805778,0.1644780756799055
1006,0.21315056919243028,0.28004956,0.0,0.16440004388221796
404,0.2702800098901722,0.2197278,0.0,0.1633359363955171
39,0.1928579300773591,0.12165469,0.1737111446797152,0.16274125468968517
1126,0.26450440073527576,0.22179198,0.0,0.16209879446201086
343,0.2013890101891375,0.28429475,0.0,0.16189458815195878
119,0.1855057520013069,0.1310225,0.16676508647954438,0.16109777883081344
953,0.1789759491064436,0.3041189,0.0,0.1610316168658696
20,0.27486298811649484,0.13149633,0.076150065313362,0.16083645952169595
1008,0.2353971174167134,0.19988333,0.04634477376309188,0.16054173935596325
1082,0.16645424459081898,0.14266297,0.1707742031062383,0.15996380663629836
998,0.14938416959634282,0.33021867,0.0,0.15986761411624106
277,0.2816975300094809,0.19595923,0.0,0.15921891843548502
547,0.20193126059579916,0.27525365,0.0,0.15906163804070175
1072,0.18953206290787705,0.21889585,0.06869656607949667,0.15904149385104638
852,0.10050953195872439,0.3765969,0.0,0.1590354765997414
610,0.15064085702031924,0.19917831,0.12656528044412088,0.15879481523765335
704,0.21821606485976155,0.16222988,0.09437165167439504,0.15827253240824374
1113,0.1339552520917787,0.33956376,0.0,0.15783966975764877
52,0.24169857250753796,0.23146307,0.0,0.15772054906389368
497,0.2978305693531481,0.1568967,0.018113698420476842,0.1576136544227589
7,0.3224326874373523,0.1489243,0.0,0.15711899782413138
542,0.18059336673414692,0.17576924,0.11480229645032067,0.1570549676161818
559,0.1929573029790831,0.27689797,0.0,0.15661842328026931
478,0.22319640707061003,0.24606633,0.0,0.15642091297800445
416,0.14015977473740604,0.16195862,0.16676830551013086,0.15629556673324627
120,0.23569912877045796,0.22198878,0.010735480371673978,0.15614113047625863
710,0.18003846320378925,0.2876376,0.0,0.15589201818859624
287,0.23041818455027047,0.23721102,0.0,0.155876401117002
949,0.15830825150985253,0.309153,0.0,0.1558204140298192
63,0.3055168414930039,0.16183561,0.0,0.15578415078651683
125,0.26823255670645824,0.1982449,0.0,0.15549248540593183
955,0.19022923142514167,0.233504,0.04146050258861615,0.15506457711321836
1054,0.13926881795055457,0.32285386,0.0,0.15404089372994764
1084,0.17094736054664145,0.2905392,0.0,0.15382885520698392
709,0.17809041791667996,0.28191996,0.0,0.15333679137465178
322,0.11496520284746731,0.2362741,0.10829264018470906,0.1531773121405625
1147,0.22368949431243015,0.2352991,0.0,0.15299619660795552
219,0.23658264656638517,0.22214746,0.0,0.15291003710619414
338,0.1846828062570483,0.27313802,0.0,0.15260694090645813
1149,0.21066081362267902,0.24687658,0.0,0.1525124653753326
93,0.14971686723222324,0.0916191,0.2159159732292824,0.15241731238596082
623,0.1575413642946849,0.1983066,0.10133745920678677,0.15239514290710424
16,0.25185755210657795,0.20297715,0.0,0.15161156759507086
1025,0.22211326513309243,0.23237184,0.0,0.15149503401126782
471,0.2281548726791463,0.09297494,0.13326288178174697,0.1514642309710457
344,0.18796577500932496,0.17121252,0.09488771574577004,0.1513553383102463
935,0.16160032112974615,0.29220483,0.0,0.15126838273332746
500,0.16401730278399204,0.22631222,0.06313989627623727,0.1511564730522725
340,0.1647168759809408,0.28769964,0.0,0.15080550525938383
1088,0.24131445278977004,0.21078888,0.0,0.15070110953600754
1042,0.2054991444512657,0.24609452,0.0,0.1505312231038826
931,0.15097798205073445,0.30029252,0.0,0.15042350125529955
1069,0.22996956568083485,0.22121097,0.0,0.15039351238516077
746,0.15290028270867936,0.29743624,0.0,0.15011217334796148
775,0.17281947969306954,0.27733922,0.0,0.15005289991335555
1058,0.18982682370880322,0.2601043,0.0,0.14997704076680565
425,0.24185370839002918,0.15862931,0.04766659783626318,0.14938320644586586
369,0.1502183458682813,0.29782537,0.0,0.14934790404230083
784,0.1774911192731968,0.2698638,0.0,0.14911831112957372
743,0.15763587550568814,0.28936267,0.0,0.148999514832259
890,0.204692083501989,0.24210805,0.0,0.14893337683683447
988,0.1560839775378234,0.2904245,0.0,0.14883615782442117
1034,0.3036029324536081,0.14269589,0.0,0.148766273776841
197,0.259777209217264,0.1861121,0.0,0.14862977168788968
725,0.11479308050176444,0.33040297,0.0,0.14839868360526345
817,0.12036388715623489,0.32462233,0.0,0.1483287400686697
933,0.20811395420311724,0.23586097,0.0,0.1479916425998967
899,0.21942463279706095,0.2243493,0.0,0.14792464594358157
71,0.187591240637298,0.13487099,0.12119641527149244,0.1478862156731974
276,0.20777436825689954,0.23422287,0.0,0.14733241410075718
443,0.14301765782635115,0.11984185,0.17858015576484917,0.147146554961747
780,0.20272437660898696,0.237156,0.0,0.1466267934408649
891,0.21260552282793072,0.22716464,0.0,0.14659005461687097
426,0.24766812964647897,0.16032407,0.03135303810284831,0.1464484115422308
612,0.11751156612616698,0.17011772,0.1512985592618173,0.14630928211651834
900,0.1468995587280403,0.2906375,0.0,0.14584568395386174
1100,0.2582259999030141,0.17866331,0.0,0.1456297710972795
959,0.17201603843840765,0.26454604,0.0,0.14552069171956117
772,0.16972070372257705,0.26671916,0.0,0.14547995539557299
950,0.1906619224094523,0.24533042,0.0,0.14533078184204543
235,0.14866024828921198,0.28655186,0.0,0.1450707037481018
1148,0.20267949720029702,0.23247746,0.0,0.14505231784385
151,0.22022454610421996,0.2148385,0.0,0.1450210169651599
974,0.16860744578847928,0.158538,0.10660622993023572,0.14458389150474146
1096,0.1921540086868258,0.24132214,0.0,0.14449205118427183
2,0.25513917190915103,0.04704594,0.1312892613215127,0.14449145730043297
468,0.21868134565853684,0.21412878,0.0,0.1442700410144316
804,0.16957926887305522,0.16169718,0.10132574002796171,0.1442007293266909
551,0.18084868057797904,0.15162393,0.09990911887557105,0.14412724465364002
261,0.23361739179813198,0.19854227,0.0,0.1440532196274179
150,0.2357558675182888,0.19596814,0.0,0.1439080012365523
1061,0.11260939381535143,0.31888434,0.0,0.1438312455747369
929,0.15930829527238805,0.2636195,0.008457903961802894,0.14379523718458526
782,0.23307322553110074,0.1982171,0.0,0.14376343982521678
485,0.2861172174071576,0.14506452,0.0,0.14372724508760062
1003,0.17898411027422043,0.25178668,0.0,0.14359026310122838
1140,0.21017566500216678,0.14192563,0.07811655464249175,0.14340595086610078
723,0.19187977793786293,0.23748177,0.0,0.1431205169458302
269,0.15710485461721518,0.2720382,0.0,0.14304768205804858
289,0.17524005237751925,0.25270897,0.0,0.142649674625972
1089,0.21488894726584623,0.21286504,0.0,0.14258466232402547
834,0.15213641002366238,0.27560607,0.0,0.14258082533740102
466,0.13092665157803454,0.29635945,0.0,0.1424287004010166
273,0.26100279956471284,0.08852019,0.07744744766959547,0.14232347961472258
383,0.2436275198579743,0.1831665,0.0,0.14226467458807476
840,0.19282241142044357,0.13519952,0.09872441934326677,0.14224878259178425
216,0.24397994696162592,0.18198194,0.0,0.14198729435292368
678,0.1781379664241764,0.157581,0.08991730427452581,0.14187875740628636
714,0.22846345625168313,0.1970012,0.0,0.14182155338209942
1064,0.25788749282308276,0.16695528,0.0,0.14161425671560188
140,0.09876480927349328,0.32605568,0.0,0.14160682833950122
1075,0.21447903947705668,0.21029246,0.0,0.14159049933709913
1029,0.18218232676991755,0.14570129,0.0967999971910966,0.14156120437931835
1092,0.20718837736766435,0.2111561,0.006073891424223148,0.14147278960886708
196,0.22524979267492354,0.19895312,0.0,0.14140097152516065
193,0.1348195078656414,0.289369,0.0,0.14139616498302549
1109,0.1797889264053408,0.15257747,0.09141968016395194,0.1412620270942061
107,0.174253520931506,0.24940526,0.0,0.14121959526197905
758,0.1649474710272089,0.1545321,0.1037128548709185,0.14106414354291116
358,0.17763652326699164,0.24410018,0.0,0.1405789021718372
594,0.2985121431328064,0.122557804,0.0,0.14035664904042103
1000,0.16818702893747006,0.25208762,0.0,0.14009155060613523
1026,0.19483406470521858,0.22487938,0.0,0.13990448291535038
1021,0.1547724308614307,0.26470196,0.0,0.13982479777747966
491,0.23816377176821174,0.18107831,0.0,0.13974736218313358
430,0.2224726969585057,0.19649327,0.0,0.13965532165716874
740,0.17306767718987437,0.16217548,0.08360969860387636,0.13961761744826887
385,0.15957256817715068,0.25905982,0.0,0.13954412825868098
637,0.12439064398043692,0.29292688,0.0,0.13910584057249406
855,0.18710224128760589,0.22958687,0.0,0.1388963702552772
776,0.28764007181470547,0.12888029,0.0,0.13884012133063525
560,0.20523887912919236,0.1543517,0.056747050682982136,0.1387792087280689
388,0.17625383956361804,0.24003388,0.0,0.13876257314658494
395,0.1862675884339282,0.22975771,0.0,0.13867509990841378
1129,0.25810757565189985,0.15720525,0.0,0.13843760983046421
361,0.12910115406754483,0.28586417,0.0,0.13832177614451405
800,0.16503025421172013,0.24977387,0.0,0.13826804303020115
248,0.2258598420349868,0.18886459,0.0,0.1382414769241582
902,0.17270418962273765,0.15235998,0.0896528256527947,0.1382389975466908
889,0.14066202937651268,0.27396193,0.0,0.13820798694785633
296,0.19630584010448876,0.21797204,0.0,0.13809262676029346
591,0.11071231656577947,0.303518,0.0,0.1380767712768805
1016,0.22752211056228966,0.18628478,0.0,0.13793563035486966
1017,0.2791416161375079,0.12167423,0.012721893395580398,0.13784591390599174
384,0.14081174132645588,0.27218488,0.0,0.1376655399713929
863,0.1720578054782611,0.24080417,0.0,0.13762065702666382
570,0.21495551135794386,0.19680066,0.0,0.13725205847507074
399,0.18321053271720725,0.22774155,0.0,0.13698402903222348
233,0.2337788806645465,0.17701146,0.0,0.13693011357679605
777,0.24661958924180907,0.16293278,0.0,0.13651745753568623
1112,0.14951608920417356,0.25992018,0.0,0.13647875634935872
999,0.206254387302664,0.20309825,0.0,0.13645087990610702
0,0.35712951270959736,0.029549873,0.02193558939052143,0.1362049915342678
716,0.17456803584551678,0.23400907,0.0,0.13619236934335982
272,0.24965086620726806,0.0854457,0.07279333317038422,0.13596330048453684
1133,0.22177045816991112,0.18591103,0.0,0.13589382924905546
144,0.2494674036886477,0.14995196,0.007204758787765402,0.13554137569772953
1014,0.15863097238870535,0.09892871,0.14888453573818558,0.13548140681176593
771,0.18809767220787388,0.2179469,0.0,0.13534819137511048
583,0.13710206308230413,0.2688887,0.0,0.13533025833720846
656,0.15526275555912442,0.25056025,0.0,0.13527433647256357
446,0.0954423630004439,0.3103031,0.0,0.13524848500110417
436,0.21566936797260583,0.18956251,0.0,0.13507729413230996
6,0.3057896973732641,0.09814645,0.0,0.13464538362435272
820,0.0905179871366714,0.31329975,0.0,0.13460591081931508
503,0.23141043142120304,0.17206164,0.0,0.13449068948838533
1074,0.2192251540435786,0.18369576,0.0,0.13430697246437054
923,0.11060142853154128,0.29162377,0.0,0.13407506657406154
427,0.21747702517827605,0.18373208,0.0,0.13373636755254617
1041,0.12848334377023213,0.2727041,0.0,0.1337291461395311
316,0.13609193809239103,0.26450312,0.0,0.13353168648947622
938,0.23537188159166444,0.14071555,0.024251819113838027,0.13344641835402582
329,0.14112124628541398,0.25799602,0.0,0.1330390896622258
548,0.19805545201978808,0.20082279,0.0,0.13295941250549995
461,0.1405271562559427,0.114177704,0.14390749413113754,0.13287078474816738
619,0.1484735669393847,0.24961674,0.0,0.13269676969115965
622,0.07653779486820024,0.32124802,0.0,0.1325952731900908
43,0.1500881391290857,0.24756229,0.0,0.13255014278902058
187,0.22732834598867493,0.1701454,0.0,0.13249125110258128
45,0.2229538625841154,0.17446174,0.0,0.13247186661974633
564,0.12431769004049265,0.27306142,0.0,0.13245970484476077
186,0.14639194643800285,0.2509245,0.0,0.13243881476026384
56,0.26271623517739534,0.1341389,0.0,0.1322850440795811
826,0.12871253737345095,0.26785707,0.0,0.13218987070366658
499,0.20437267358926758,0.19172582,0.0,0.13203283129741028
448,0.17664973877089488,0.21939622,0.0,0.13201531914279616
806,0.16682430253404115,0.22892785,0.0,0.13191738441910258
574,0.13615881703857352,0.2590959,0.0,0.13175157474995908
444,0.18172014707417974,0.1183141,0.09433183322732311,0.13145536086452123
82,0.13169507451726456,0.26232335,0.0,0.1313394747438479
926,0.13510224760877515,0.25849244,0.0,0.1311982291980168
97,0.1604835628770947,0.23191793,0.0,0.13080049850222666
337,0.15711095955498217,0.2352251,0.0,0.13077868529997666
1060,0.14800710504783146,0.24425152,0.0,0.13075287482981202
1085,0.1308025440862944,0.20956224,0.05183850607390074,0.13073443073043087
62,0.23429532427592717,0.15779264,0.0,0.1306959889961734
386,0.18758043384761103,0.203907,0.0,0.13049581062863433
305,0.2008287985857187,0.1904531,0.0,0.13042729860331806
997,0.13791870915480364,0.25282696,0.0,0.13024855601651109
378,0.24209467570544121,0.14737593,0.0,0.12982353402694344
745,0.1624279404614769,0.22695196,0.0,0.12979329907014645
978,0.11293631773990306,0.2764218,0.0,0.12978603436483913
729,0.16275082310241817,0.22636582,0.0,0.12970554755860686
486,0.25457979894688126,0.13373713,0.0,0.1294389769667069
341,0.19150467444101163,0.1961603,0.0,0.1292216586690452
615,0.2388653577511886,0.12469393,0.024091969151146645,0.12921708568380455
1114,0.1677986073320304,0.21972485,0.0,0.1291744853994977
57,0.23042178975001368,0.15707314,0.0,0.12916497663145396
147,0.23869346334259206,0.14787562,0.0,0.12885636175248522
394,0.16783788037101063,0.21870612,0.0,0.12884799881709827
573,0.0877693563936073,0.2983632,0.0,0.1287108550547864
389,0.22654409849905863,0.15942834,0.0,0.12865748055863346
470,0.2289872903642661,0.15624349,0.0,0.12841025951894147
205,0.19092838134647522,0.19385476,0.0,0.1282610484834549
816,0.1158344193719842,0.26793298,0.0,0.12792246687488482
958,0.19792981070500174,0.18577915,0.0,0.12790298833523048
129,0.14466382378128628,0.23881783,0.0,0.12782721656490517
904,0.11888522888502939,0.26450557,0.0,0.12779693135050094
307,0.20802674007769736,0.17510426,0.0,0.12771033350744618
1150,0.21698145079492995,0.1658603,0.0,0.1276139153635484
110,0.21384806905312662,0.1689607,0.0,0.12760292481754662
192,0.16230178548763843,0.15979066,0.060195426303306376,0.12742929223407165
762,0.1265619695402214,0.25488478,0.0,0.12714891633116632
628,0.13930437681198793,0.24191803,0.0,0.1270741347376528
