,channel,feature_type,channel_feature_name,RF_Importance,XGB_Importance,Lasso_Coefficient
148,16,delta_power,Channel_16_delta_power,0.0017192537852995403,0.0010031218,0.0
149,16,theta_power,Channel_16_theta_power,0.0015979088141531862,0.002027772,0.0
150,16,alpha_power,Channel_16_alpha_power,0.0012051043011728363,0.0008976916,0.0
151,16,beta_power,Channel_16_beta_power,0.0011257134362242039,0.000984133,0.0
152,16,gamma_power,Channel_16_gamma_power,0.0011298448740981154,0.0007056243,0.0
153,17,mean,Channel_17_mean,0.0005538472114299429,0.00083640835,0.0
154,17,std,Channel_17_std,0.0004586173772546429,0.000514946,0.0
155,17,skewness,Channel_17_skewness,0.000672157885901113,0.0009430766,0.0
156,17,kurtosis,Channel_17_kurtosis,0.0007035145272537404,0.00053377583,0.0
157,17,delta_power,Channel_17_delta_power,0.00046957204310815026,0.00062502123,0.0
158,17,theta_power,Channel_17_theta_power,0.0005741609129054605,0.0007587075,0.0
159,17,alpha_power,Channel_17_alpha_power,0.00045518346660349825,0.000855112,0.0
160,17,beta_power,Channel_17_beta_power,0.0006850896286476323,0.000978566,0.0
161,17,gamma_power,Channel_17_gamma_power,0.0007554655813678256,0.0008869143,0.0
162,18,mean,Channel_18_mean,0.0007039675531268185,0.0007885184,0.0
163,18,std,Channel_18_std,0.0006730566458789757,0.00079502334,0.0
164,18,skewness,Channel_18_skewness,0.0006193382716335211,0.00070489093,0.0
165,18,kurtosis,Channel_18_kurtosis,0.0007880498032943136,0.00076639885,0.000998344593510461
166,18,delta_power,Channel_18_delta_power,0.0005396679134129742,0.0006732733,0.0
167,18,theta_power,Channel_18_theta_power,0.00046799139135294626,0.00040846868,0.0
168,18,alpha_power,Channel_18_alpha_power,0.0004839196458879818,0.00084955274,0.0
169,18,beta_power,Channel_18_beta_power,0.0007626216321855639,0.00059341436,0.0
170,18,gamma_power,Channel_18_gamma_power,0.0007890200210608493,0.0006104363,0.0
171,19,mean,Channel_19_mean,0.0006426704190752144,0.0006250161,0.0
172,19,std,Channel_19_std,0.0006263384581511902,0.0007110771,0.0
173,19,skewness,Channel_19_skewness,0.0006911152840521256,0.0005948121,0.0
174,19,kurtosis,Channel_19_kurtosis,0.0008747741817902378,0.00067900185,0.0
175,19,delta_power,Channel_19_delta_power,0.0005657524920326392,0.0008384168,0.0
176,19,theta_power,Channel_19_theta_power,0.0005400341559010208,0.00086541416,0.0
177,19,alpha_power,Channel_19_alpha_power,0.0005186062986621588,0.0006222023,0.0
178,19,beta_power,Channel_19_beta_power,0.0007380781131697355,0.00065413635,0.0
179,19,gamma_power,Channel_19_gamma_power,0.0006250637353481069,0.0007746197,0.00142509177519869
180,20,mean,Channel_20_mean,0.0009516991567019021,0.0005677001,0.0
181,20,std,Channel_20_std,0.0007046473387581927,0.0008609368,0.0
182,20,skewness,Channel_20_skewness,0.0009795985017263071,0.000860996,0.012770733118596146
183,20,kurtosis,Channel_20_kurtosis,0.0008923926300966893,0.00079155323,0.0
184,20,delta_power,Channel_20_delta_power,0.0007965232974742118,0.00078417116,0.0
185,20,theta_power,Channel_20_theta_power,0.0007864097145832566,0.0006223462,0.0
186,20,alpha_power,Channel_20_alpha_power,0.000748306144685095,0.0011494359,0.0
187,20,beta_power,Channel_20_beta_power,0.0011620256599051847,0.0007794027,0.0
188,20,gamma_power,Channel_20_gamma_power,0.00149658671450725,0.0015830639,0.0
189,21,mean,Channel_21_mean,0.0007170998929047108,0.0007490002,0.0
190,21,std,Channel_21_std,0.0005747277628042365,0.0007619229,0.0
191,21,skewness,Channel_21_skewness,0.0008633839575829688,0.000976685,0.005391031735040717
192,21,kurtosis,Channel_21_kurtosis,0.0008296318638347828,0.00073196966,0.0017872783627234778
193,21,delta_power,Channel_21_delta_power,0.0006891517505848957,0.0013255425,0.0
194,21,theta_power,Channel_21_theta_power,0.000750596899961601,0.0010074344,0.0
195,21,alpha_power,Channel_21_alpha_power,0.0005778728961654704,0.0008420074,0.0
196,21,beta_power,Channel_21_beta_power,0.001151400797987699,0.0009113652,0.0
197,21,gamma_power,Channel_21_gamma_power,0.0013278932798994494,0.00085254305,0.0
198,22,mean,Channel_22_mean,0.0005663819706191119,0.0004965721,0.0
199,22,std,Channel_22_std,0.0005603484489421966,0.0009523136,0.0
200,22,skewness,Channel_22_skewness,0.0007530322954570892,0.0008099318,0.0
201,22,kurtosis,Channel_22_kurtosis,0.0007510269123751678,0.00049054093,0.0
202,22,delta_power,Channel_22_delta_power,0.0006188372004455047,0.0009919471,0.0
203,22,theta_power,Channel_22_theta_power,0.0004519436383913163,0.00090384745,0.0
204,22,alpha_power,Channel_22_alpha_power,0.00047579826884467833,0.0010477005,0.0
205,22,beta_power,Channel_22_beta_power,0.0009759613450925273,0.0008880106,0.0
206,22,gamma_power,Channel_22_gamma_power,0.0007680172392986418,0.000882425,0.0
207,23,mean,Channel_23_mean,0.0006410660863427971,0.00068146206,0.0
208,23,std,Channel_23_std,0.0005497311211223197,0.00076986145,0.0
209,23,skewness,Channel_23_skewness,0.0008503461117129264,0.00058431795,0.0025124819976562423
210,23,kurtosis,Channel_23_kurtosis,0.0007379881733424107,0.0007069944,0.0
211,23,delta_power,Channel_23_delta_power,0.00048785164745577625,0.0005532985,0.0
212,23,theta_power,Channel_23_theta_power,0.00045862601498227384,0.0006623786,0.0
213,23,alpha_power,Channel_23_alpha_power,0.00041448315852859574,0.00070573686,0.0
214,23,beta_power,Channel_23_beta_power,0.0006903191800230458,0.0008763142,0.0
215,23,gamma_power,Channel_23_gamma_power,0.0007698775715569134,0.0010508937,0.0
216,24,mean,Channel_24_mean,0.0012471430152658537,0.0008336235,0.0
217,24,std,Channel_24_std,0.0008370225611506174,0.0006187418,0.0
218,24,skewness,Channel_24_skewness,0.0010202003814577143,0.00073164736,0.0
219,24,kurtosis,Channel_24_kurtosis,0.0012093305161869894,0.0010176139,0.0
220,24,delta_power,Channel_24_delta_power,0.000781348227602161,0.0006704184,0.0
221,24,theta_power,Channel_24_theta_power,0.000890957116572929,0.0005105279,0.0
222,24,alpha_power,Channel_24_alpha_power,0.0007295401005690081,0.0005949888,0.0
223,24,beta_power,Channel_24_beta_power,0.0009946498128126432,0.00056150724,0.009629142477102124
224,24,gamma_power,Channel_24_gamma_power,0.0009324812235218973,0.0005560809,0.0
225,25,mean,Channel_25_mean,0.0009598957612261632,0.0005279196,0.0011047640516817325
226,25,std,Channel_25_std,0.0009066431330832678,0.0014658864,0.0031542930865670004
227,25,skewness,Channel_25_skewness,0.0009842423648298009,0.00069892866,0.0053494370591005945
228,25,kurtosis,Channel_25_kurtosis,0.0009429179897163252,0.00055810245,0.0
229,25,delta_power,Channel_25_delta_power,0.0007795542624822083,0.00080109766,0.0
230,25,theta_power,Channel_25_theta_power,0.0006198276316786551,0.00080804,0.0
231,25,alpha_power,Channel_25_alpha_power,0.0004828453940049373,0.0008754199,0.0
232,25,beta_power,Channel_25_beta_power,0.0007474024021714435,0.0008943919,0.0
233,25,gamma_power,Channel_25_gamma_power,0.0011949986126659651,0.0008108548,0.0
234,26,mean,Channel_26_mean,0.0007567557702640385,0.00069745234,0.0
235,26,std,Channel_26_std,0.0007599009369845416,0.0013126378,0.0
236,26,skewness,Channel_26_skewness,0.0008909197208144512,0.00065819826,0.0
237,26,kurtosis,Channel_26_kurtosis,0.0008597922217765393,0.0007862221,0.0
238,26,delta_power,Channel_26_delta_power,0.0007606113959051061,0.0006448003,0.0
239,26,theta_power,Channel_26_theta_power,0.0006343106752160259,0.0007851459,0.0
240,26,alpha_power,Channel_26_alpha_power,0.000473727154595807,0.00076454587,0.0
241,26,beta_power,Channel_26_beta_power,0.0006842499742398068,0.00081523333,0.0
242,26,gamma_power,Channel_26_gamma_power,0.0007604014395421353,0.0007697029,0.0
243,27,mean,Channel_27_mean,0.0006065258318732236,0.0006337298,0.0
244,27,std,Channel_27_std,0.001887801870022463,0.0036232858,0.0
245,27,skewness,Channel_27_skewness,0.0007929790540200358,0.00066937326,7.969215284289381e-05
246,27,kurtosis,Channel_27_kurtosis,0.0008502908371524166,0.00053981383,0.00188630128138157
247,27,delta_power,Channel_27_delta_power,0.0005888958230213163,0.0007139538,0.0
248,27,theta_power,Channel_27_theta_power,0.0011545191640987054,0.0008651516,0.0
249,27,alpha_power,Channel_27_alpha_power,0.0005742113346137602,0.0008160984,0.0
250,27,beta_power,Channel_27_beta_power,0.0006097300158235252,0.00063805765,0.0
251,27,gamma_power,Channel_27_gamma_power,0.0006155286084970643,0.000750623,0.0
252,28,mean,Channel_28_mean,0.0008404085706704992,0.0007373515,0.0
253,28,std,Channel_28_std,0.0006181897948710406,0.0010721298,0.0
254,28,skewness,Channel_28_skewness,0.0010470656793275198,0.0007780052,0.011792755606965433
255,28,kurtosis,Channel_28_kurtosis,0.0009111854970386034,0.0007741589,0.0
256,28,delta_power,Channel_28_delta_power,0.0006663884980555547,0.000654063,0.0
